Entity,Code,Year,Electric cars sold
Australia,AUS,2012,250
Australia,AUS,2013,290
Australia,AUS,2014,1320
Australia,AUS,2015,1760
Australia,AUS,2016,1370
Australia,AUS,2017,2300
Australia,AUS,2018,3600
Australia,AUS,2019,9200
Australia,AUS,2020,6900
Australia,AUS,2021,20400
Australia,AUS,2022,38900
Austria,AUT,2015,2800
Austria,AUT,2016,5000
Austria,AUT,2017,7100
Austria,AUT,2018,9100
Austria,AUT,2019,11500
Austria,AUT,2020,23600
Austria,AUT,2021,48000
Austria,AUT,2022,47000
Belgium,BEL,2010,56
Belgium,BEL,2011,296
Belgium,BEL,2012,910
Belgium,BEL,2013,560
Belgium,BEL,2014,1950
Belgium,BEL,2015,3900
Belgium,BEL,2016,9200
Belgium,BEL,2017,14700
Belgium,BEL,2018,13200
Belgium,BEL,2019,17700
Belgium,BEL,2020,47000
Belgium,BEL,2021,71000
Belgium,BEL,2022,97000
Brazil,BRA,2012,92
Brazil,BRA,2013,163
Brazil,BRA,2015,87
Brazil,BRA,2016,177
Brazil,BRA,2017,315
Brazil,BRA,2018,296
Brazil,BRA,2019,1940
Brazil,BRA,2020,2480
Brazil,BRA,2021,13900
Brazil,BRA,2022,18500
Canada,CAN,2011,520
Canada,CAN,2012,1920
Canada,CAN,2013,3100
Canada,CAN,2014,5100
Canada,CAN,2015,6800
Canada,CAN,2016,11600
Canada,CAN,2017,16700
Canada,CAN,2018,44000
Canada,CAN,2019,51000
Canada,CAN,2020,51000
Canada,CAN,2021,87000
Canada,CAN,2022,114000
Chile,CHL,2014,17
Chile,CHL,2015,36
Chile,CHL,2016,31
Chile,CHL,2017,135
Chile,CHL,2018,178
Chile,CHL,2019,300
Chile,CHL,2020,189
Chile,CHL,2021,570
Chile,CHL,2022,1500
China,CHN,2010,1440
China,CHN,2011,5120
China,CHN,2012,9860
China,CHN,2013,15730
China,CHN,2014,73000
China,CHN,2015,211000
China,CHN,2016,339000
China,CHN,2017,580000
China,CHN,2018,1090000
China,CHN,2019,1060000
China,CHN,2020,1140000
China,CHN,2021,3250000
China,CHN,2022,5900000
Denmark,DNK,2011,422
Denmark,DNK,2012,502
Denmark,DNK,2013,510
Denmark,DNK,2014,1690
Denmark,DNK,2015,4720
Denmark,DNK,2016,1870
Denmark,DNK,2017,1330
Denmark,DNK,2018,4600
Denmark,DNK,2019,9400
Denmark,DNK,2020,32000
Denmark,DNK,2021,65000
Denmark,DNK,2022,57000
